!exclamation-point	ekckʌəmeizənpoint
"close-quote	kʌoɤskwoɤt
"double-quote	dəbəʌkwoɤt
abiomed	eibiəmed
abiquiu	əbıkyu
abitibi	æbıtibi
abitz	æbıtc
abject	æbdjekt
abkhazia	æbkasyə
abkhazia(1)	æbkæsyə
abkhazian	æbkasiən
abkhazian(1)	æbkæsiən
abkhazian(2)	æbkasyən
abkhazian(3)	æbkæsyən
abkhazians	æbkasiəns
abkhazians(1)	æbkæsiəns
ablaze	əbʌeis
able	eibəʌ
able-bodied	eibəʌbadid
abled	eibəʌd
abler	eibəʌr
abler(1)	eibʌr
ables	eibəʌs
ablest	eibəʌct
ablest(1)	eibʌəct
abloom	əbʌum
ably	eibʌi
abner	æbnr
abney	æbni
abnormal	æbnorməʌ
abnormalities	æbnormæʌətis
abnormality	æbnormæʌəti
abnormally	æbnorməʌi
abo	aboɤ
abo's	aboɤs
aboard	əbord
abode	əboɤd
abohalima	æbəhəʌimə
abolish	əbaʌız
abolished	əbaʌızt
abolishes	əbaʌızıs
abolishing	əbaʌızıng
abolition	æbəʌızən
abolitionism	æbəʌızənısəm
abolitionist	æbəʌızənəct
abolitionists	æbəʌızənəctc
abolitionists(1)	æbəʌızənəc
abominable	əbamənəbəʌ
abomination	əbaməneizən
abood	əbud
aboodi	əbudi
abor	əbor
aboriginal	æbrıdjənəʌ
aborigine	æbrıdjəni
aborigines	æbrıdjənis
aborn	əborn
abort	əbort
aborted	əbortıd
abortifacient	əbortəfeizənt
abortifacients	əbortəfeizəntc
aborting	əbortıng
abortion	əborzən
abortionist	əborzənıct
abortionists	əborzənıctc
abortionists(1)	əborzənıc
abortions	əborzəns
abortive	əbortıv
aborts	əbortc
abott	əbat
abou	əbu
aboud	abud
abouhalima	abuhaʌimə
abouhalima's	abuhaʌiməs
abound	əbaɤnd
abounded	əbaɤndıd
abounding	əbaɤndıng
abounds	əbaɤnds
about	əbaɤt
about's	əbaɤtc
above	əbəv
above's	əbəvs
aboveboard	əbəvbord
abplanalp	æbpʌənæʌp
abra	abrə
abracadabra	æbrəkədæbrə
abraham	eibrəhæm
abrahamian	æbrəheimiən
abrahams	eibrəhæms
abrahamsen	æbrəhæmcən
abrahamson	əbræhəmcən
abram	əbræm
abram's	eibrəms
abramczyk	abrəmtsık
abramo	abramoɤ
abramovitz	əbraməvıtc
abramowicz	əbraməvıts
abramowitz	əbraməwıtc
abrams	eibrəms
abrams's	eibrəmsıs
abramson	eibrəmcən
abrasion	əbreijən
abrasions	əbreijəns
abrasive	əbreicıv
abrasives	əbreicıvs
abraxa	əbrækcə
abraxa's	əbrækcəs
abraxas	əbrækcəs
abreast	əbrect
abrego	abreɡoɤ
abreu	əbru
abridge	əbrıdj
abridged	əbrıdjd
abridgement	əbrıdjmənt
abridges	əbrıdjəs
abridging	əbrıdjıng
abril	əbrıʌ
abroad	əbrod
abrogate	æbrəɡeit
abrogated	æbrəɡeitıd
abrogating	æbrəɡeitıng
abrogation	æbrəɡeizən
abrol	əbroɤʌ
abron	əbran
abrupt	əbrəpt
abruptly	əbrəptʌi
abruptness	əbrəptnəc
abrutyn	eibrutın
abruzzese	abrutceisi
abruzzo	abrusoɤ
abs	eibiec
abs(1)	æbs
absalom	æbcəʌəm
absaraka	æbcarəkə
abscam	æbckæm
abscess	æbcec
abscond	æbckand
absconded	æbckandəd
absconding	æbckandıng
absconds	æbckands
absecon	æbcəkon
absence	æbcənc
absences	æbcəncıs
absent	æbcənt
absentee	æbcənti
absenteeism	æbcəntiısəm
absentees	æbcəntis
absentia	æbcenzə
absher	æbzr
abshier	æbzir
abshire	æbzair
absinthe	æbcınħ
abso	æbcoɤ
absolom	æbcəʌəm
absolut	æbcəʌut
absolut's	æbcəʌutc
absolute	æbcəʌut
absolutely	æbcəʌutʌi
absoluteness	æbcəʌutnəc
absolutes	æbcəʌutc
absolution	æbcəʌuzən
absolutism	æbcəʌutısəm
absolutist	æbcəʌutıct
absolve	əbsaʌv
absolve(1)	æbsaʌv
absolved	əbsaʌvd
absolved(1)	æbsaʌvd
absolves	əbsaʌvs
absolves(1)	æbsaʌvs
absolving	əbsaʌvıng
absolving(1)	æbsaʌvıng
absorb	əbsorb
absorbed	əbsorbd
absorbency	əbsorbənci
absorbent	əbsorbənt
absorber	əbsorbr
absorbers	əbsorbrs
absorbing	əbsorbıng
absorbs	əbsorbs
absorption	əbsorpzən
absorption(1)	əbcorpzən
abstain	əbctein
abstain(1)	æbctein
abstained	əbcteind
abstained(1)	æbcteind
abstaining	əbcteinıng
abstaining(1)	æbcteinıng
abstention	əbctentsən
abstention(1)	æbctentsən
abstentions	əbctentsəns
abstentions(1)	æbctentsəns
abstinence	æbctənənc
abstinent	æbctənənt
abston	æbctən
abstract	æbctrækt
abstract(1)	æbctrækt
abstracted	æbctræktıd
abstraction	æbctrækzən
abstractions	æbctrækzəns
abstracts	æbctræktc
abstruse	əbctruc
absurd	əbcrd
absurdist	əbcrdıct
absurdities	əbcrdətis
absurdity	əbcrdəti
absurdly	əbcrdʌi
abt	æbt
abt(1)	eibiti
abts	æbtc
abts(1)	eibitis
abts(2)	eibitiec
abu	æbu
abudrahm	əbədrəm
abuellah	əbweʌə
abuellah's	əbweʌəs
abuladze	æbyuʌædsi
abundance	əbəndənc
abundant	əbəndənt
abundantly	əbəndəntʌi
aburto	əbɤrtoɤ
aburto's	əbɤrtoɤs
abuse	əbyuc
abuse(1)	əbyus
abused	əbyusd
abuser	əbyusr
abusers	əbyusrs
abuses	əbyucıs
abuses(1)	əbyusıs
abusing	əbyusıng
abusive	əbyucıv
abut	əbət
abuts	əbətc
abutted	əbətəd
abutting	əbətıng
abuzz	əbəs
abysmal	əbısməʌ
abysmally	əbısməʌi
abyss	əbıc
abyssinia	æbcıniə
abyssinian	æbcıniən
abzug	æbsəɡ
abzug(1)	æbsɤɡ
ac	eici
aca	ækə
acacia	əkeizə
academe	ækədim
academia	ækədimiə
academic	ækədemık
academically	ækədemıkʌi
academician	ækədəmızən
academicians	ækədəmızəns
academicians(1)	əkædəmızəns
academics	ækədemıkc
academies	əkædəmis
academy	əkædəmi
academy's	əkædəmis
acadia	əkeidiə
acampo	əkampoɤ
acampora	əkæmprə
acampsia	əkæmpcyə
acantha	akanđə
acapulco	ækəpɤʌkoɤ
acary	ækri
accardi	akardi
accardo	akardoɤ
accede	ækcid
acceded	ækcidıd
accedes	ækcids
acceding	ækcidıng
accel	əkceʌ
accelerant	ækceʌrənt
accelerants	ækceʌrəntc
accelerate	ækceʌreit
accelerated	ækceʌreitıd
accelerates	ækceʌreitc
accelerating	ækceʌreitıng
acceleration	ækceʌreizən
accelerator	ækceʌreitr
accelerators	ækceʌreitrs
accelerometer	ækceʌramətr
accelerometers	ækceʌramətrs
accent	əkcent
accent(1)	ækcent
accented	ækcentıd
accenting	ækcentıng
accents	ækcentc
accentuate	ækcentsueit
accentuated	ækcentsueitıd
accentuates	ækcentsueitc
accentuating	ækcentsueitıng
accept	ækcept
accept(1)	əkcept
acceptability	əkceptəbıʌəti
acceptable	ækceptəbəʌ
acceptable(1)	əkceptəbəʌ
acceptably	ækceptəbʌi
acceptably(1)	əkceptəbʌi
acceptance	ækceptənc
acceptance(1)	əkceptənc
acceptances	ækceptəncıs
accepted	ækceptıd
accepted(1)	əkceptəd
accepting	ækceptıng
accepting(1)	əkceptıng
accepts	ækceptc
access	ækcec
accessed	ækcect
accessibility	ækcecəbıʌıti
accessible	ækcecəbəʌ
accessing	ækcecıng
accession	əkcezən
accessories	ækcecris
accessorize	ækcecrais
accessorized	ækcecraisd
accessory	ækcecri
accetta	atsetə
accident	ækcədənt
accident's	ækcədəntc
accidental	ækcədentəʌ
accidental(1)	ækcədenəʌ
accidentally	ækcədentəʌi
accidentally(1)	ækcədenəʌi
accidently	ækcədəntʌi
accidents	ækcədəntc
accion	ætsiən
accival	æcıvaʌ
acclaim	əkʌeim
acclaim's	əkʌeims
acclaimed	əkʌeimd
acclaiming	əkʌeimıng
acclaims	əkʌeims
acclamation	ækʌəmeizən
acclimate	ækʌəmeit
acclimated	ækʌəmeitıd
acclimation	ækʌəmeizən
acco	ækoɤ
accokeek	ækoɤkik
accola	akoɤʌə
accolade	ækəʌeid
accolades	ækəʌeids
accomando	akoɤmandoɤ
accommodate	əkamədeit
accommodated	əkamədeitəd
accommodates	əkamədeitc
accommodating	əkamədeitıng
accommodation	əkamədeizən
accommodations	əkamədeizəns
accommodative	əkamədeitıv
accompanied	əkəmpənid
accompanies	əkəmpənis
accompaniment	əkəmpnımənt
accompaniment(1)	əkəmpnimənt
accompaniments	əkəmpnıməntc
accompaniments(1)	əkəmpniməntc
accompanist	əkəmpənəct
accompany	əkəmpəni
accompanying	əkəmpəniıng
accompli	akampʌi
accompli(1)	əkampʌi
accomplice	əkampʌəc
accomplices	əkampʌəcəs
accomplish	əkampʌız
accomplished	əkampʌızt
accomplishes	əkampʌızıs
accomplishing	əkampʌızıng
accomplishment	əkampʌızmənt
accomplishments	əkampʌızməntc
accor	ækor
accor's	ækrs
accord	əkord
accord's	əkords
accordance	əkordənc
accorded	əkordıd
according	əkordıng
accordingly	əkordıngʌi
accordion	əkordiən
accordions	əkordiəns
accords	əkords
accost	əkoct
accosted	əkactəd
accosting	əkactıng
account	əkaɤnt
account's	əkaɤntc
accountability	əkaɤntəbıʌıti
accountability(1)	əkaɤnəbıʌıti
accountable	əkaɤntəbəʌ
accountable(1)	əkaɤnəbəʌ
accountancy	əkaɤntənci
accountant	əkaɤntənt
accountant's	əkaɤntəntc
accountants	əkaɤntəntc
accountants'	əkaɤntəntc
accounted	əkaɤntəd
accounted(1)	əkaɤnəd
accountemp	əkaɤntemp
accountemps	əkaɤntempc
accounting	əkaɤntıng
accounting(1)	əkaɤnıng
accounts	əkaɤntc
accouterment	əkutrmənt
accouterments	əkutrməntc
accoutrement	əkutrmənt
accoutrements	əkutrməntc
accredit	əkredət
accreditation	əkredəteizən
accreditations	əkredəteizəns
accredited	əkredıtıd
accrediting	əkredətıng
accreted	əkritıd
accretion	əkrizən
accrual	əkruəʌ
accruals	əkruəʌs
accrue	əkru
accrued	əkrud
accrues	əkrus
accruing	əkruıng
accu	ækyu
accuhealth	ækyuheʌħ
accumulate	əkyumyəʌeit
accumulated	əkyumyəʌeitıd
accumulates	əkyumyəʌeitc
accumulating	əkyumyəʌeitıng
accumulation	əkyumyəʌeizən
accumulations	əkyumyəʌeizəns
accumulative	əkyumyəʌeitıv
accumulatively	əkyumyəʌeitıvʌi
accumulatively(1)	əkyumyəʌətıvʌi
accumulator	əkyumyəʌeitr
accumulators	əkyumyəʌeitrs
accuracies	ækyrəcis
accuracy	ækyrəci
accurate	ækyrət
accurately	ækyrətʌi
accuray	ækyrei
accuray's	ækyreis
accuride	ækyraid
accurso	akɤrcoɤ
accusation	ækyəseizən
accusation(1)	ækyuseizən
accusations	ækyəseizəns
accusations(1)	ækyuseizəns
accusative	əkyusətıv
accusatory	əkyusətori
accuse	əkyus
accused	əkyusd
accuser	əkyusr
accusers	əkyusrs
accuses	əkyusıs
accusing	əkyusıng
accusingly	əkyusıngʌi
accustom	əkəctəm
accustomed	əkəctəmd
accutane	ækyutein
ace	eic
acecomm	eickam
aced	eict
acer	eicr
acerbic	əcerbık
acero	əceroɤ
acero(1)	əcyeroɤ
acero(2)	əħeroɤ
acerra	əcerə
aces	eicıs
acetaminophen	əcitəmınəfən
acetate	æcəteit
acetic	əcetık
acetic(1)	əcitık
aceto	acetoɤ
acetochlor	acetoɤkʌor
acetone	æcətoɤn
acetosyringone	əcetoɤcırıngɡon
acetylcholine	əcetəʌkoɤʌin
acetylcholine(1)	əcitəʌkoɤʌin
acetylene	əcetəʌin
acevedo	æcəveidoɤ
aceves	aceivec
acey	eici
achaean	ətsiən
achatz	ækətc
ache	eik
achebe	atseibi
ached	eikt
achee	ətsi
achenbach	ækınbak
achenbaum	ækənbaɤm
aches	eikc
acheson	ætsəcən
acheson's	ætsəcəns
achesons	ætsəcəns
achey	ætsi
achieva	ətsivə
achievable	ətsivəbəʌ
achieve	ətsiv
achieved	ətsivd
achievement	ətsivmənt
achievements	ətsivməntc
achiever	ətsivr
achievers	ətsivrs
achieves	ətsivs
achieving	ətsivıng
achille	əkıʌi
achilles	əkıʌis
achilles'	əkıʌis
aching	eikıng
achingly	eikıngʌi
achmed	ahmed
achoa	ətsoɤə
achoa's	ətsoɤəs
achor	eikr
achord	ækord
achorn	ækrn
achtenberg	æktenbrɡ
achterberg	æktrbrɡ
achy	eiki
acid	æcəd
acidic	əcıdık
acidification	əcıdəfəkeizən
acidified	əcıdəfaid
acidifies	əcıdəfais
acidify	əcıdəfai
acidity	əcıdəti
acidly	æcədʌi
acidosis	æcədoɤcəc
acids	æcəds
aciduria	æcədɤriə
acierno	acırnoɤ
ack	æk
acker	ækr
acker's	ækrs
ackerley	ækrʌi
ackerly	ækrʌi
ackerman	ækrmən
ackermann	ækrmən
ackermanville	ækrmənvıʌ
ackerson	ækrcən
ackert	ækrt
ackhouse	ækhaɤc
ackland	ækʌənd
ackles	ækəʌs
ackley	ækʌi
acklin	ækʌın
ackman	ækmən
acknowledge	æknaʌıdj
acknowledge(1)	ıknaʌıdj
acknowledgeable	æknaʌıdjəbəʌ
acknowledgeable(1)	ıknaʌıdjəbəʌ
acknowledged	æknaʌıdjd
acknowledged(1)	ıknaʌıdjd
acknowledgement	æknaʌıdjmənt
acknowledgement(1)	ıknaʌıdjmənt
acknowledgements	æknaʌıdjməntc
acknowledgements(1)	ıknaʌıdjməntc
acknowledges	æknaʌıdjıs
acknowledges(1)	ıknaʌıdjıs
acknowledging	æknaʌıdjıng
acknowledging(1)	ıknaʌıdjıng
acknowledgment	æknaʌıdjmənt
acknowledgment(1)	ıknaʌıdjmənt
ackroyd	ækroid
ackroyd's	ækroids
acmat	ækmæt
acmat's	ækmætc
acme	ækmi
acme's	ækmis
acne	ækni
acocella	akoɤtseʌə
acoff	ækof
acog	əkoɡ
acolyte	ækəʌait
acolytes	ækəʌaitc
acord	əkord
acordia	əkordiə
acorn	eikorn
acorn's	eikorns
acorns	eikorns
acosta	əkoctə
acott	eikot
acoustic	əkuctık
acoustical	əkuctıkəʌ
acoustically	əkuctıkʌi
acoustics	əkuctıkc
acquaint	əkweint
acquaintance	əkweintənc
acquaintances	əkweintəncıs
acquaintanceship	əkweintənczıp
acquainted	əkweintıd
acquainted(1)	əkweinıd
acquaviva	akwavivə
acquiesce	ækwiec
acquiesced	ækwiect
acquiescence	ækwiecənc
acquiescing	ækwiecıng
acquire	əkwair
acquired	əkwaird
acquirer	əkwairr
acquirer's	əkwairrs
acquirers	əkwairrs
acquires	əkwairs
acquiring	əkwairıng
acquiring(1)	əkwairıng
acquisition	ækwəsızən
acquisition's	ækwəsızəns
acquisitions	ækwəsızəns
acquisitive	əkwısətıv
acquit	əkwıt
acquitaine	ækwıtein
acquits	əkwıtc
acquittal	əkwıtəʌ
acquittals	əkwıtəʌs
acquitted	əkwıtəd
acquitted(1)	əkwıtıd
acquitting	əkwıtıng
acre	eikr
acreage	eikrıdj
acreage(1)	eikrədj
acree	əkri
acres	eikrs
acrey	ækri
acri	akri
acrid	ækrıd
acrimonious	ækrəmoɤniəc
acrimony	ækrımoɤni
acro	ækroɤ
acrobat	ækrəbæt
acrobatic	ækrəbætık
acrobatics	ækrəbætıkc
acrobats	ækrəbætc
acrolein	ækroɤʌin
acronym	ækrənım
acronyms	ækrənıms
acropolis	əkrapəʌəc
across	əkroc
acrylic	əkrıʌık
acrylics	əkrıʌıkc
act	ækt
act's	æktc
actava	æktavə
actava's	æktavəs
actavas	æktavəs
acted	æktəd
acted(1)	æktıd
actel	ækteʌ
actigall	æktıɡoʌ
actin	æktən
acting	æktıng
actinide	æktınaid
actinidia	æktınıdiə
actinomycosis	æktınoɤmaikoɤcıc
action	ækzən
action's	ækzəns
actionable	ækzənəbəʌ
actions	ækzəns
activase	æktıveis
activate	æktəveit
activated	æktəveitəd
activated(1)	æktıveitıd
activates	æktəveitc
activating	æktəveitıng
activation	æktəveizən
activator	æktəveitr
active	æktıv
active's	æktıvs
actively	æktıvʌi
actives	æktıvs
activision	æktıvıjən
activism	æktıvısəm
activist	æktəvəct
activist(1)	æktıvıct
activists	æktəvəctc
activists(1)	æktıvıctc
activists(2)	æktəvəc
activists(3)	æktıvıc
activists'	æktıvıctc
activists'(1)	æktıvıc
activities	æktıvətis
activities(1)	æktıvıtis
activity	æktıvəti
activity(1)	æktıvıti
actmedia	æktmidiə
actodine	æktoɤdain
acton	æktən
actor	æktr
actor's	æktrs
actors	æktrs
actors'	æktrs
actress	æktrəc
actress's	æktrəcıs
actresses	æktrəcıs
acts	æktc
acts(1)	ækc
actual	æktsəwəʌ
actual(1)	ækzəʌ
actuality	æktsuæʌəti
actualize	æktsuəʌais
actually	æktsuəʌi
actually(1)	æktsʌi
actually(2)	ækzəʌi
actuarial	æktsueriəʌ
actuaries	æktsueris
actuary	æktsueri
actuate	æktsueit
actuator	æktyueitr
actuator(1)	æktsueitr
actuators	æktyueitrs
actuators(1)	æktsueitrs
actus	æktəc
acuff	əkəf
acuity	əkyuəti
acumen	əkyumən
acuna	akunə
acupuncture	ækyupəngktsr
acura	ækyrə
acura's	ækyrəs
acuras	ækyrəs
acuson	ækyucən
acustar	ækyuctar
acusyst	ækyucıct
acute	əkyut
acutely	əkyutʌi
acuteness	əkyutnəc
acyclovir	əcıkʌoɤvır
ad	æd
ad's	æds
ad-hoc	ædhak
ad-lib	ædʌıb
ad-nauseum	ædnosiəm
ada	eidə
ada's	eidəs
adabel	ædəbeʌ
adabelle	ædəbəʌ
adachi	adaki
adage	ædədj
adage(1)	ædıdj
adagio	ədajioɤ
adah	æda
adair	əder
adaire	ader
adak	ədæk
adalah	adaʌə
adalia	adaʌiə
adam	ædəm
adam's	ædəms
adamant	ædəmənt
adamantly	ædəməntʌi
adamcik	adəmtsık
adamczak	adəmtsæk
adamczyk	adəmtsık
adame	adami
adamec	ədamık
adamek	ədamek
adames	ədeims
adami	adami
adamik	ədamık
adamina	adaminə
adamkus	ædəmkəc
adamo	adamoɤ
adamowicz	ədaməvıts
adams	ædəms
adams'	ædəms
adams's	ædəmsıs
adamski	ədæmcki
adamson	ædəmcən
adamstown	ædəmctaɤn
adan	eidən
adapso	ədæpcoɤ
adapt	ədæpt
adaptability	ədæptəbıʌəti
adaptable	ədæptəbəʌ
adaptaplex	ədæptəpʌekc
adaptation	ædəpteizən
adaptations	ædæpteizəns
adaptations(1)	ædəpteizəns
adaptec	ədæptek
adaptec's	ədæptekc
adapted	ədæptəd
adapted(1)	ədæptıd
adapter	ədæptr
adapters	ədæptrs
adapting	ədæptıng
adaptive	ədæptıv
adaptor	ədæptr
adaptors	ədæptrs
adapts	ədæptc
adar	ədar
adarand	ædərænd
adas	eidəs
aday	ədei
adaza	ədasə
adcock	ədkak
adcox	ədkakc
add	æd
addair	əder
addams	ædəms
added	ædəd
added(1)	ædıd
addendum	ədendəm
addendums	ədendəms
addeo	adioɤ
adder	ædr
adderley	ədrʌi
addicks	ædıkc
addict	ədıkt
addict(1)	ædıkt
addicted	ədıktəd
addicted(1)	ədıktıd
addicting	ədıktıng
addiction	ədıkzən
addictions	ədıkzəns
addictive	ədıktıv
addicts	ədıktc
addicts(1)	ædıktc
addidas	ədidəc
addidas'	ədidəc
addidas's	ədidəcıs
addidases	ədidəcıs
addie	ædi
adding	ædıng
addington	ædıngtən
addis	adıc
addis-ababa	adıcəbabə
addis-ababa(1)	adicəbabə
addison	ædəcən
addison(1)	ædıcən
addison's	ædıcəns
addition	ədızən
additional	ədızənəʌ
additional(1)	ədıznəʌ
additionally	ədızənəʌi
additionally(1)	ədıznəʌi
additions	ədızəns
additive	ædətıv
additive(1)	ædıtıv
additives	ædətıvs
additives(1)	ædıtıvs
addle	ædəʌ
addled	ædəʌd
addleman	ædəʌmən
address	ædrec
address(1)	ədrec
addressable	ədrecəbəʌ
addressed	ədrect
addressee	ædreci
addresses	ædrecıs
addresses(1)	ədrecıs
addressing	ədrecıng
adds	æds
adduci	adutsi
adduct	ædəkt
addwest	ædwect
addy	ædi
addyston	ædictən
ade	eid
adee	ədi
adel	ədeʌ
adela	ədeʌə
adelaar	ædəʌar
adelaide	ædəʌeid
adelanto	ædəʌantoɤ
adelbert	ədeʌbrt
adele	ədeʌ
adele's	ədeʌs
adeline	ædəʌain
adelizzi	ædəʌisi
adell	ədeʌ
adell's	ədeʌs
adelle	ədeʌ
adelman	ædəʌmən
adelman(1)	edəʌmən
adelmann	ædəʌmən
adelpha	ədeʌfə
adelphi	ədeʌfi
adelphia	ədeʌfiə
adelphia's	ədeʌfiəs
adelsberger	ædıʌsbrɡr
adelson	ædəʌcən
adelstein	ædəʌctain
adelstein(1)	ædəʌctin
aden	eidən
adena	ædınə
adenauer	eidənaɤr
adenauer(1)	ædənaɤr
adenine	ædənin
adenoid	ædənoid
adenoids	ædənoids
adenoscan	ədenəckæn
adenosine	ədenəcin
adenovirus	ədenəvairəc
adept	ədept
adequacy	ædəkwəci
adequate	ædəkwət
adequate(1)	ædəkweit
adequately	ædəkwətʌi
adequately(1)	ædəkwıtʌi
ader	eidr
aderhold	ædrhoɤʌd
aderholt	ædrhoɤʌt
aderman	ædrmən
ades	eids
adey	eidi
adger	ædjr
adham	ædhæm
adhere	ədhır
adhered	ædhırd
adherence	ədhırənc
adherent	ədhırənt
adherents	ædhırəntc
adheres	ədhırs
adhering	ədhırıng
adhesion	ædhijən
adhesive	ædhicıv
adhesive(1)	ədhicıv
adhesives	ædhicıvs
adhesives(1)	ədhicıvs
adia	adiə
adid	ədıd
adidas	ədidəc
adidas's	ədidəcıs
adieu	ədu
adin	ədın
adina	adinə
adine	adini
